Problem ID,Title,Description,Category,District,Priority,Keywords,Possible Solution
37,Difficult access to agricultural extension advice,"Many cultivators depend on informal advice and may not receive timely guidance on pests, nutrients or crop practices.",Agriculture,Palamu,Medium,"agriculture advice, extension, pests, farmers, crops",Provide multilingual mobile advisories supported by local extension workers.
38,Post-harvest storage shortage for paddy,Producers with limited storage may sell grain immediately after harvest even when market prices are unfavorable.,Agriculture,Chatra,Medium,"paddy, storage, grain, farmers, post-harvest",Expand community warehouses and provide digital information on storage and market options.
39,Long travel time for emergency medical care,Families in remote blocks may struggle to reach a hospital quickly when urgent treatment is required.,Healthcare,Latehar,High,"emergency care, hospital, transport, rural health, ambulance",Improve emergency transport coordination and map facilities by travel time.
40,Shortage of diagnostic services in rural facilities,Patients may need to travel to larger towns for basic laboratory or imaging tests.,Healthcare,Pakur,High,"diagnostics, laboratory, rural hospital, tests, healthcare",Use mobile diagnostic units and remote reporting for selected tests.
41,Irregular medicine availability at local health centers,Patients can be asked to return later when commonly needed medicines are temporarily unavailable.,Healthcare,Garhwa,High,"medicines, health center, stock, pharmacy, patients",Introduce stock monitoring with reorder alerts and transparent availability status.
42,Delayed follow-up for chronic disease patients,People receiving treatment for long-term conditions may miss scheduled check-ups because of distance or poor reminders.,Healthcare,Hazaribagh,Medium,"chronic disease, follow-up, patients, reminders, treatment","Use appointment reminders, tele-follow-ups and community health-worker tracking."
43,Limited mental health support for young people,Students and young adults may have few accessible avenues for confidential counselling and referral.,Healthcare,Ranchi,Medium,"mental health, youth, counselling, students, support",Create confidential counselling access through colleges and tele-support services.
44,Low awareness of preventive health screening,"Residents may seek care only after symptoms become serious, while routine screening remains limited.",Healthcare,Seraikela-Kharsawan,Medium,"screening, prevention, health checkup, awareness, community",Run periodic screening camps and send simple local-language reminders.
45,Healthcare access challenges for elderly residents,Older people living alone or far from facilities can find regular consultations and medicine collection difficult.,Healthcare,Dumka,Medium,"elderly, healthcare access, medicines, home care, rural","Coordinate outreach visits, medicine delivery and teleconsultation for eligible residents."
46,Shortage of science learning equipment in schools,"Some secondary schools have limited practical equipment, making science lessons heavily dependent on textbooks.",Education,West Singhbhum,Medium,"science labs, schools, equipment, students, practical learning",Create shared laboratory hubs and mobile practical-learning kits.
47,Irregular attendance among secondary students,"Students in some communities miss classes because of household responsibilities, seasonal work or travel difficulties.",Education,Sahibganj,High,"attendance, secondary school, students, dropout, education",Use attendance-based early alerts and targeted family or community support.
48,Weak foundational numeracy in primary grades,Some children reach upper primary classes without mastering basic arithmetic and number concepts.,Education,Palamu,High,"numeracy, primary school, mathematics, children, learning",Provide diagnostic assessments and adaptive remedial learning activities.
49,Teacher access challenges in remote schools,Schools in isolated locations may find it difficult to maintain subject-specific teaching capacity.,Education,Simdega,High,"teachers, remote schools, staffing, education, subjects","Use teacher deployment analysis, digital classrooms and shared subject resources."
50,Limited career guidance for rural students,Learners may know few options beyond locally visible occupations and may lack information about courses and scholarships.,Education,Khunti,Medium,"career guidance, students, scholarships, courses, youth",Build a multilingual career and scholarship information service with mentors.
51,Girls face barriers to continuing education,"Distance, safety concerns and household duties can make continuation after certain school levels difficult for some girls.",Education,Gumla,High,"girls education, safety, school, attendance, adolescents","Improve safe transport options, mentoring and targeted retention support."
52,Vocational training not aligned with local employers,"Training programs may teach skills that do not match the equipment, trades or hiring needs of nearby businesses.",Education,Bokaro,Medium,"vocational training, employers, skills, jobs, training",Use employer surveys and placement data to update course offerings.
53,Handpump failures remain unresolved for long periods,"When a community handpump breaks, residents may depend on distant sources while waiting for repair.",Water,Palamu,High,"handpump, repair, drinking water, village, maintenance",Create geo-tagged maintenance requests with technician routing and repair deadlines.
54,Seasonal drying of community ponds,Village ponds that support domestic and livelihood activities can become unreliable toward the end of the dry season.,Water,Garhwa,Medium,"ponds, dry season, water storage, village, groundwater","Restore ponds, improve catchment management and track seasonal water levels."
55,Rainwater harvesting systems are poorly maintained,"Installed rooftop harvesting structures may stop working when filters, pipes or storage components are not maintained.",Water,Ranchi,Medium,"rainwater harvesting, maintenance, rooftops, storage, water",Create inspection schedules and simple maintenance reporting for public buildings.
56,Leakage in local water distribution networks,A portion of treated or supplied water is lost before reaching households because of damaged pipes and joints.,Water,Jamshedpur,High,"pipeline leakage, water supply, pipes, distribution, loss","Use pressure monitoring, complaint mapping and prioritized pipe replacement."
57,Unequal water supply across neighborhoods,Some households receive water at convenient times while others get an unreliable or very short supply window.,Water,Bokaro,High,"water supply, distribution, households, timing, urban water",Track supply schedules and complaints to identify service gaps and rebalance distribution.
58,Open wells become unsafe during monsoon,"Runoff can enter shallow wells after heavy rain, reducing confidence in household water sources.",Water,Dumka,High,"open wells, monsoon, contamination, runoff, drinking water","Protect well surroundings, test water after heavy rainfall and provide treatment guidance."
59,School toilets lack dependable water,Students may have access to toilet structures but insufficient water for regular cleaning and use.,Water,Deoghar,Medium,"school toilets, water, sanitation, students, maintenance",Link toilet maintenance with water availability monitoring and local service teams.
60,Loss of tree cover around expanding settlements,Construction and land-use changes can reduce local vegetation and shade around growing settlements.,Environment,Ranchi,Medium,"tree cover, urban growth, vegetation, land use, environment",Map tree cover and require compensatory planting with survival monitoring.
61,Pollution of streams near settlements,Household wastewater and other local discharges can reduce the quality of small streams used by nearby communities.,Environment,Giridih,High,"stream pollution, wastewater, water bodies, sanitation, environment",Map discharge points and combine treatment improvements with community monitoring.
62,Soil erosion on sloping farmland,"Heavy rain can wash fertile topsoil from fields located on slopes, lowering long-term farm productivity.",Environment,Lohardaga,High,"soil erosion, farmland, slopes, rain, conservation","Promote contour bunding, vegetative barriers and watershed treatment."
63,Loss of wetland habitats,"Small wetlands are being reduced or disturbed, affecting local water retention and biodiversity.",Environment,Hazaribagh,Medium,"wetlands, biodiversity, habitat, water retention, ecology",Map important wetlands and support community-based protection and restoration.
64,Smoke exposure from household cooking,Families using solid fuels indoors may experience poor ventilation and prolonged exposure to cooking smoke.,Environment,Sahibganj,High,"cooking smoke, indoor air, clean fuel, households, health","Promote cleaner cooking options, improved ventilation and awareness on safe use."
65,Noise pollution near busy markets,"Residents around busy commercial areas report disruptive noise from traffic, generators and amplified sound.",Environment,Deoghar,Medium,"noise pollution, markets, traffic, generators, environment",Create noise hotspot maps and support time-based enforcement and quieter equipment.
66,Invasive plants spreading in community grazing areas,Unwanted plant species can reduce usable grazing space and alter local vegetation.,Environment,Koderma,Medium,"invasive plants, grazing, vegetation, land, biodiversity",Map affected areas and combine controlled removal with restoration planting.
67,Damaged culverts isolate villages during rains,"Small crossings on rural roads can become impassable after intense rainfall, cutting access to nearby markets and services.",Rural Infrastructure,Chatra,High,"culverts, rural roads, rainfall, connectivity, villages",Inspect vulnerable crossings before monsoon and prioritize resilient repairs.
68,Poor drainage along village approach roads,"Water remains on road surfaces after rainfall, accelerating damage and making travel difficult.",Rural Infrastructure,Garhwa,Medium,"village roads, drainage, rain, road damage, transport",Add roadside drainage and schedule maintenance based on condition surveys.
69,Lack of all-weather access to remote hamlets,Some settlements have usable paths in dry weather but become difficult to reach during the monsoon.,Rural Infrastructure,West Singhbhum,High,"all-weather road, hamlets, monsoon, access, rural","Prioritize durable road links using population, service access and travel-time data."
70,Community buildings need basic repairs,"Panchayat and community facilities may have damaged roofs, doors, electrical fittings or sanitation facilities.",Rural Infrastructure,Simdega,Medium,"community buildings, repairs, panchayat, maintenance, rural",Create an asset register with condition scoring and maintenance tracking.
71,Irrigation channels damaged after heavy rain,Minor canals and field channels can develop breaches or blockages that disrupt water distribution to farms.,Rural Infrastructure,Palamu,High,"irrigation channels, canals, damage, farms, water",Use pre-season inspections and geo-tagged maintenance work orders.
72,Remote villages have limited bridge crossings,Streams and seasonal waterways can make residents take long detours when permanent crossings are unavailable.,Rural Infrastructure,Dumka,High,"bridges, streams, crossings, villages, mobility",Map missing links and prioritize small bridges based on population and service access.
73,Public bus stops lack basic passenger facilities,"People waiting for rural or semi-rural buses may have little shelter, seating or route information.",Rural Infrastructure,Hazaribagh,Low,"bus stops, shelter, transport, passengers, rural",Install simple shelters and display route and timing information at priority stops.
74,Forest produce collectors receive low farmgate prices,Collectors of non-timber forest products may have limited bargaining power and few direct buyers.,Livelihood,Khunti,High,"forest produce, tribal livelihoods, prices, collectors, markets",Organize producer groups and provide transparent buyer and price information.
75,Women self-help groups struggle to reach larger markets,"Small producer groups may have good products but limited packaging, branding and access to institutional buyers.",Livelihood,Dumka,Medium,"women groups, SHG, markets, products, livelihoods","Provide shared branding, digital catalogues and buyer linkage support."
76,Traditional lac producers face uncertain demand,Lac-producing households can face difficulty planning production when buyers and market information are unclear.,Livelihood,Khunti,Medium,"lac, producers, forest livelihood, market, tribal",Build producer-buyer networks and provide seasonal demand information.
77,Small rural businesses lack digital bookkeeping skills,"Local shops and service providers may find it difficult to track sales, inventory and cash flow accurately.",Livelihood,Ranchi,Medium,"small business, bookkeeping, digital skills, shops, finance",Offer simple mobile bookkeeping tools with local-language training.
78,Handloom workers have limited access to design support,Weavers may rely on traditional designs while market demand changes faster than their ability to experiment.,Livelihood,Dumka,Medium,"handloom, weaving, design, artisans, market",Connect artisan groups with design institutes and buyer feedback.
79,Seasonal migration disrupts household livelihoods,Workers may leave their villages for temporary employment because local income opportunities are limited during parts of the year.,Livelihood,Palamu,High,"migration, seasonal work, employment, rural income, livelihoods",Map seasonal employment gaps and connect workers with local skills and job opportunities.
80,Household waste is mixed at collection points,"Organic material and recyclable items are often placed together, making recovery and composting harder.",Waste Management,Ranchi,Medium,"waste segregation, household waste, recycling, composting, collection",Introduce source-segregation campaigns and monitor collection quality by route.
81,Organic market waste is dumped without treatment,Vegetable and food waste from busy markets can accumulate quickly and create odor and sanitation problems.,Waste Management,Jamshedpur,High,"market waste, organic waste, composting, sanitation, markets",Set up decentralized composting or biogas units near major markets.
82,Construction debris blocks roadside drains,"Discarded bricks, concrete and other building material can obstruct drainage channels in expanding neighborhoods.",Waste Management,Hazaribagh,Medium,"construction waste, debris, drains, roads, urban",Create designated debris collection points and track illegal dumping hotspots.
83,Electronic waste has no convenient local collection route,Households and small businesses may store obsolete electronics because formal collection options are not nearby.,Waste Management,Ranchi,Medium,"e-waste, electronics, collection, recycling, households",Establish periodic e-waste collection drives and connect material to authorized recyclers.
84,Community toilets generate unmanaged waste,Some public sanitation facilities lack a dependable process for cleaning and handling waste after use.,Waste Management,Deoghar,High,"community toilets, sanitation, waste, cleaning, public facilities","Use scheduled cleaning logs, supply tracking and service-level monitoring."
85,Illegal dumping occurs on village outskirts,"Waste is sometimes left on open land outside settlements, creating nuisance and potential contamination.",Waste Management,Giridih,Medium,"illegal dumping, village, garbage, land, sanitation",Map dumping hotspots and combine enforcement with convenient collection alternatives.
86,Unreliable electricity in remote households,Voltage fluctuations and outages can interrupt household activities and reduce the usefulness of electrical appliances.,Energy,West Singhbhum,High,"electricity, outages, voltage, rural households, power",Map outage patterns and prioritize feeder and transformer improvements.
87,Solar streetlights stop working because of poor maintenance,Some solar lights installed in public areas become unusable when batteries or controllers fail without timely servicing.,Energy,Latehar,Medium,"solar streetlights, batteries, maintenance, public lighting, energy",Maintain an asset register with battery-life tracking and service schedules.
88,Farmers lack affordable solar irrigation options,The upfront cost of solar pumping can prevent smallholders from adopting a more dependable irrigation source.,Energy,Palamu,Medium,"solar pumps, irrigation, farmers, renewable energy, cost",Develop shared solar irrigation models and financing support for farmer groups.
89,Schools face high electricity costs and wastage,"Public schools may use fans, lights and equipment inefficiently, increasing recurring power expenses.",Energy,Ranchi,Low,"schools, electricity, energy efficiency, power, costs",Conduct energy audits and introduce efficient lighting and simple usage monitoring.
90,Biomass energy systems lack technical support,Community or small-enterprise biomass systems can remain idle when operators cannot quickly obtain repairs or spare parts.,Energy,Hazaribagh,Medium,"biomass, energy, maintenance, rural enterprise, repairs",Train local technicians and maintain spare-parts and service networks.
91,Power access for small rural enterprises is inadequate,Workshops and processing units may lose productive hours because the local supply is not stable enough for equipment.,Energy,Gumla,High,"rural enterprise, electricity, power supply, productivity, businesses",Assess enterprise feeder needs and combine grid upgrades with suitable backup systems.
92,Emergency response is slow in remote road corridors,People travelling through isolated areas may have difficulty obtaining timely assistance after accidents or other emergencies.,Public Safety,West Singhbhum,High,"emergency response, remote roads, accidents, rescue, safety",Map response times and establish coordinated emergency contact and dispatch procedures.
93,Fire safety equipment is limited in crowded markets,"Busy market areas may have inadequate extinguishers, access lanes or awareness of fire response procedures.",Public Safety,Dhanbad,High,"fire safety, markets, emergency, extinguishers, crowd",Conduct fire-risk audits and install clearly marked equipment and access routes.
94,School routes have unsafe road crossings,Children walking to school may cross busy roads without suitable pedestrian facilities or traffic calming.,Public Safety,Bokaro,High,"school safety, road crossing, children, traffic, pedestrians","Identify risky crossings and add signage, crossings, speed controls and supervised zones."
95,Flood warnings do not reach all vulnerable households,People living near streams or low-lying areas may receive little advance notice when water levels rise rapidly.,Public Safety,Sahibganj,High,"flood warning, households, rivers, alerts, disaster","Combine local monitoring with multilingual SMS, sirens and community volunteers."
96,Community disaster preparedness is uneven,"Some villages have emergency contacts and plans while neighboring communities have little practice for floods, fires or storms.",Public Safety,Garhwa,Medium,"disaster preparedness, villages, emergency plans, training","Create village-level preparedness checklists, drills and updated contact networks."
97,Mobile connectivity is weak in remote settlements,Residents in some areas have difficulty making reliable calls or using online services because network coverage is inconsistent.,Digital Infrastructure,Simdega,High,"mobile network, connectivity, villages, internet, telecom",Map coverage gaps and prioritize shared digital access points and network improvements.
98,Government offices have unreliable internet connections,"Slow or interrupted connectivity can delay online applications, records work and citizen service delivery.",Digital Infrastructure,Pakur,High,"internet, government office, connectivity, e-governance, services",Monitor uptime and provide resilient broadband links with backup connectivity.
99,Public digital service kiosks lack regular maintenance,"Computer equipment, printers or biometric devices at service centers may remain unusable when maintenance is delayed.",Digital Infrastructure,Deoghar,Medium,"kiosk, maintenance, digital services, equipment, CSC",Track device health and service requests through a centralized maintenance dashboard.
100,Rural households have limited access to digital skills,"People who own smartphones may still struggle to use online forms, digital payments or government portals confidently.",Digital Infrastructure,Dumka,Medium,"digital skills, smartphones, online services, payments, training",Run community digital-literacy sessions with hands-on local-language support.
